
BLZ,Bank_Name,BIC,PLZ,City
10000000,Bundesbank,MARKDEF1100,10591,Berlin
10010010,Postbank Ndl der Deutsche Bank,PBNKDEFFXXX,10559,Berlin
10010123,OLINDA Zweigniederlassung Deutschland,QNTODEB2XXX,10245,Berlin
10010178,"Revolut Bank, Zweigniederlassung Deutschland",REVODEB2XXX,10117,Berlin
10010200,"Treezor, Berlin",TRZODEB2XXX,10785,Berlin
10010300,Klarna Bank German Branch,KLRNDEBEXXX,10115,Berlin
10010424,Aareal Bank,AARBDE5W100,10666,Berlin
10010500,Noelse Pay,AFOPDEB2XXX,10719,Berlin
10010700,Financiere des Paiements Electroniques NL Deutschland,FPEGDEB2XXX,10719,Berlin
10011001,N26 Bank,NTSBDEB1XXX,10179,Berlin
10012345,Trade Republic Bank,TRBKDEBBXXX,10119,Berlin
10014000,Swan Zweigniederlassung Deutschland,SWNBDEBBXXX,10178,Berlin
10014001,Swan Zweigniederlassung Deutschland (Geschäftsfeld),SWNBDEBBXXX,10178,Berlin
10017997,Holvi Payment Services Zweigniederlassung Deutschland,HOLVDEB1XXX,10967,Berlin
10018000,Finom Payments Zweigniederlassung Deutschland,FNOMDEB2XXX,10115,Berlin
10019000,"Adyen, German Branch",ADYBDEB2XXX,10117,Berlin
10020200,BHF-BANK,BHFBDEFF100,10117,Berlin
10020500,SozialBank,BFSWDE33BER,10178,Berlin
10020510,SozialBank,BFSWDE33BER,10178,Berlin
10020520,SozialBank,BFSWDE33BER,10178,Berlin
10020890,UniCredit Bank - HypoVereinsbank,HYVEDEMM488,10117,Berlin
10020890,UniCredit Bank - HypoVereinsbank,HYVEDEMM488,14776,Brandenburg an der Havel
10020890,UniCredit Bank - HypoVereinsbank,HYVEDEMM488,15711,Königs Wusterhausen
10030200,Landesbank Baden-Württemberg,BHYPDEB2XXX,10787,Berlin
10030400,ABK Allgemeine Beamten Bank,ABKBDEB1XXX,10115,Berlin
10030500,M.M. Warburg & Co (vormals Bankhaus Löbbecke),LOEBDEBBXXX,20095,Hamburg
10030700,Eurocity Bank,DLGHDEB1XXX,60311,Frankfurt am Main
10030700,Eurocity Bank (Gf P2),,60311,Frankfurt am Main
10030730,Eurocity Bank Gf GAA,DLGHDEB1XXX,60311,Frankfurt am Main
10033300,Santander Consumer Bank,SCFBDE33XXX,10439,Berlin
10040000,"Commerzbank, Filiale Berlin 1",COBADEBBXXX,10891,Berlin
10040005,"Commerzbank, Filiale Berlin 3",COBADEBBXXX,10891,Berlin
10040010,"Commerzbank, CC SP",COBADEFFXXX,10877,Berlin
10040048,Commerzbank GF-B48,COBADEFFXXX,10891,Berlin
10040060,Commerzbank Gf 160,COBADEFFXXX,10891,Berlin
10040061,Commerzbank Gf 161,COBADEFFXXX,10891,Berlin
10040062,Commerzbank CC,COBADEFFXXX,10783,Berlin
10040063,Commerzbank CC,COBADEFFXXX,10783,Berlin
10040085,"Commerzbank, Gf Web-K",COBADEFFXXX,10877,Berlin
10045050,Commerzbank Service-BZ,COBADEFFXXX,10785,Berlin
10050000,BSK 1818 - Berliner Sparkasse,BELADEBEXXX,10889,Berlin
10050020,"S-Kreditpartner, Berlin",SKPADEB1XXX,10715,Berlin
10050500,LBS Landesbausparkasse NordOst,LBSODEB1BLN,10405,Berlin
10050999,DekaBank,DGZFDEFFBER,60040,Frankfurt am Main
10060198,Pax-Bank,GENODED1PA6,14005,Berlin
10061006,Bank für Kirche und Diakonie - KD-Bank Gf Sonder-BLZ,GENODED1KDB,10117,Berlin
10070000,Deutsche Bank,DEUTDEBBXXX,10883,Berlin
10070000,Deutsche Bank Gf P2,,10883,Berlin
10070000,Deutsche Bank Gf P2,,10883,Berlin
10070024,Deutsche Bank,DEUTDEDBBER,10883,Berlin
10070024,Deutsche Bank,,10883,Berlin
10070024,Deutsche Bank,,10883,Berlin
10070100,Deutsche Bank,DEUTDEBB101,10883,Berlin
10070124,Deutsche Bank,DEUTDEDB101,10883,Berlin
10070324,Postbank/DSL Ndl der Deutsche Bank,DEUTDEDBP30,10117,Berlin
10070397,Postbank/DSL Ndl der Deutsche Bank,DEUTDEBBP30,10117,Berlin
10070398,Postbank/DSL Ndl der Deutsche Bank,DEUTDEBBP31,12105,Berlin
10070399,Postbank/DSL Ndl der Deutsche Bank,DEUTDEBBP32,13125,Berlin
10070848,Deutsche Bank,DEUTDEDB110,10623,Berlin
10071324,Postbank/DSL Ndl der Deutsche Bank,DEUTDEDBP31,12105,Berlin
10072324,Postbank/DSL Ndl der Deutsche Bank,DEUTDEDBP32,13125,Berlin
10077777,norisbank,NORSDE51XXX,10625,Berlin
10080000,Commerzbank vormals Dresdner Bank Filiale Berlin I,DRESDEFF100,10877,Berlin
10080005,Commerzbank vormals Dresdner Bank Zw A,DRESDEFFI26,10623,Berlin
